15/9-F-1 C_p10,15/9-F-1 C_p50,15/9-F-1 C_p90,15/9-F-11_p10,15/9-F-11_p50,15/9-F-11_p90,15/9-F-12_p10,15/9-F-12_p50,15/9-F-12_p90,15/9-F-14_p10,15/9-F-14_p50,15/9-F-14_p90,15/9-F-15 D_p10,15/9-F-15 D_p50,15/9-F-15 D_p90,15/9-F-1 C,15/9-F-11,15/9-F-12,15/9-F-14,15/9-F-15 D
41789.493507587445,51672.4645173135,60954.51410758744,0.0,16609.16158830571,101463.58718158286,104770.24769956365,123976.33830795495,185514.68350318968,0.0,0.0,25081.881053057725,0.0,15039.522997227676,29726.99827830765,59368.97058697765,94559.5600760964,113666.08927091163,38887.49479885038,19274.649585238058
57712.59720007085,67595.56820979691,76877.61780007085,0.0,30040.31182201841,108516.37366601599,134147.8826286355,150037.68524137474,211576.03043660946,0.0,0.0,27493.53903521783,0.0,15039.522997227676,29726.99827830765,75292.07427946106,101612.34656052954,139727.43620433143,41299.15278101048,19274.649585238058
78575.74063665839,88458.71164638444,97740.76123665838,6061.923612468148,31563.566102809695,116417.99169608684,135623.00609378354,151512.80870652277,213051.1539017575,0.0,2879.4436086743954,32251.11482096053,0.0,15039.522997227676,29726.99827830765,96155.21771604859,109513.96459060039,141202.55966947947,46056.72856675318,19274.649585238058
40193.43467548926,50076.405685215315,59358.455275489265,6097.565706911337,37977.57194653245,116453.63379053003,140883.47731181027,156773.2799245495,218311.62511978426,0.0,4151.276422245202,33332.000146207225,0.0,15039.522997227676,29726.99827830765,57772.91175487947,109549.60668504357,146463.0308875062,47137.61389199988,19274.649585238058
34473.275301566915,44356.24631129297,53638.29590156692,6381.9699618771265,31883.612452218673,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,7858.310390526633,36848.08662616454,0.0,18025.641271050892,29726.99827830765,52052.75238095712,109834.01094000936,146840.4183994365,50653.700371957195,19274.649585238058
34473.275301566915,44356.24631129297,53638.29590156692,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,8159.185116104578,37148.96135174249,0.0,18025.641271050892,29726.99827830765,52052.75238095712,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
42184.489561680944,52067.460571407,61349.51016168094,6381.9699618771265,31883.612452218673,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,7777.290139456352,34477.49113945635,0.0,15039.522997227676,29726.99827830765,59763.96664107115,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
26541.953424550375,36424.92443427643,45706.97402455038,6381.9699618771265,38261.97620149824,116738.03804549582,137944.5768280885,157150.6674364798,218689.01263171452,0.0,7777.290139456352,37148.96135174249,0.0,15039.522997227676,29726.99827830765,44121.43050394058,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
42184.489561680944,52067.460571407,61349.51016168094,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,8159.185116104578,37148.96135174249,0.0,18025.641271050892,29726.99827830765,59763.96664107115,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
18830.73916443631,28713.710174162363,37995.75976443631,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,7777.290139456352,34477.49113945635,0.0,15039.522997227676,29726.99827830765,36410.216243826515,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
20570.5988701623,30453.569879888353,39735.6194701623,6381.9699618771265,31883.612452218673,116738.03804549582,137944.5768280885,157150.6674364798,218689.01263171452,0.0,7777.290139456352,37148.96135174249,0.0,18025.641271050892,29726.99827830765,38150.075949552505,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
