well,price_usd_bbl,opex_usd_bbl,npv_musd
15/9-F-1 C,50,8,49.678465759656135
15/9-F-11,50,8,410.94924331112
15/9-F-12,50,8,312.136522229038
15/9-F-14,50,8,14.835238874487052
15/9-F-15 D,50,8,52.03029984636195
15/9-F-1 C,50,12,44.94718330635555
15/9-F-11,50,12,371.81122013863234
15/9-F-12,50,12,282.409234397701
15/9-F-14,50,12,13.422358981678764
15/9-F-15 D,50,12,47.07503319432748
15/9-F-1 C,50,18,37.85025962640468
15/9-F-11,50,18,313.10418537990097
15/9-F-12,50,18,237.8183026506956
15/9-F-14,50,18,11.303039142466325
15/9-F-15 D,50,18,39.642133216275774
15/9-F-1 C,70,8,73.33487802615906
15/9-F-11,70,8,606.639359173558
15/9-F-12,70,8,460.77296138572274
15/9-F-14,70,8,21.899638338528504
15/9-F-15 D,70,8,76.8066331065343
15/9-F-1 C,70,12,68.60359557285847
15/9-F-11,70,12,567.5013360010706
15/9-F-12,70,12,431.0456735543857
15/9-F-14,70,12,20.48675844572022
15/9-F-15 D,70,12,71.85136645449982
15/9-F-1 C,70,18,61.50667189290759
15/9-F-11,70,18,508.7943012423391
15/9-F-12,70,18,386.45474180738046
15/9-F-14,70,18,18.367438606507783
15/9-F-15 D,70,18,64.41846647644813
15/9-F-1 C,90,8,96.99129029266196
15/9-F-11,90,8,802.3294750359963
15/9-F-12,90,8,609.4094005424075
15/9-F-14,90,8,28.96403780256996
15/9-F-15 D,90,8,101.58296636670667
15/9-F-1 C,90,12,92.26000783936138
15/9-F-11,90,12,763.1914518635086
15/9-F-12,90,12,579.6821127110707
15/9-F-14,90,12,27.55115790976167
15/9-F-15 D,90,12,96.62769971467219
15/9-F-1 C,90,18,85.16308415941049
15/9-F-11,90,18,704.4844171047772
15/9-F-12,90,18,535.0911809640652
15/9-F-14,90,18,25.43183807054924
15/9-F-15 D,90,18,89.19479973662048
